Age,Monthly_Income,Profession,City_Type,Household_Size,Weekly_Activity_Freq,Sports_Played,Owns_Equipment,Equipment_Owned,Purchase_Channel,Importance_Quality,Importance_Price,Importance_Brand,Importance_Speed,Importance_Sustainability,Importance_Customization,Importance_BundleDeals,Monthly_Equipment_Budget,Willingness_To_Use_App,Influenced_By_Sustainability,Satisfaction_Current_Buying,Purchase_Influencers,Purchase_Challenges,Preference_Rent_Over_Buy,Knowledge_Level,Willing_To_Recommend
41,61874,Retired,Metro,5,Never,"['Gym', 'Cricket']",No,['Rackets'],Offline,3,3,3,5,2,2,4,2401,Very Unlikely,Yes,5,"['Loyalty rewards', 'Fitness events', 'Smart recommendations']","['Poor quality', 'Not eco-friendly']",No,Beginner,Not Sure
47,59361,Business Owner,Metro,1,Never,"['Football', 'Tennis']",No,"['Yoga Mats', 'Nets', 'Weights']",Both,5,4,3,5,3,4,4,2198,Neutral,Maybe,3,"['Eco-friendly packaging', 'Personalized discounts', 'Smart recommendations']","['Not eco-friendly', 'Expensive pricing', 'Limited stock', 'None']",Yes,Beginner,Probably
55,59425,Homemaker,Tier 3,3,3-4 times,"['Football', 'Basketball']",Yes,['Rackets'],Online,3,5,5,5,1,3,2,2062,Very Likely,Yes,4,"['Loyalty rewards', 'Eco-friendly packaging', 'Same-day delivery']","['Not eco-friendly', 'Poor personalization', 'No bundling', 'None']",Maybe,Beginner,Probably
19,49816,Homemaker,Metro,3,5+ times,"['Gym', 'Badminton']",No,"['Shoes', 'Nets', 'Balls']",Online,4,4,2,4,3,3,3,2320,Very Unlikely,No,2,"['Fitness events', 'Same-day delivery', 'Personalized discounts']","['Late delivery', 'No bundling', 'Expensive pricing', 'Not eco-friendly']",Yes,Beginner,Definitely
38,36541,Working Professional,Tier 2,5,1-2 times,"['Badminton', 'Cycling']",Yes,"['Rackets', 'Shoes', 'Yoga Mats']",Both,4,3,1,5,3,5,4,2161,Neutral,Yes,5,"['Eco-friendly packaging', 'Smart recommendations', 'Fitness events']",['Limited stock'],Maybe,Intermediate,Not Sure
50,51137,Business Owner,Metro,4,3-4 times,"['Cricket', 'Gym']",No,"['Yoga Mats', 'Balls']",Online,5,4,1,3,4,2,3,1176,Very Likely,No,4,"['Eco-friendly packaging', 'Personalized discounts', 'Loyalty rewards']","['Expensive pricing', 'Poor quality', 'Limited stock', 'Not eco-friendly']",Yes,Expert,Not Sure
29,39842,Business Owner,Tier 2,1,3-4 times,['Running'],No,[],Online,3,3,1,4,1,5,3,2036,Likely,Maybe,1,"['Buy-back offers', 'Personalized discounts', 'Loyalty rewards']",['Poor personalization'],Maybe,Beginner,Definitely
39,64626,Retired,Metro,5,3-4 times,"['Football', 'Tennis', 'Cricket']",Yes,"['Yoga Mats', 'Weights', 'Rackets']",Online,3,5,3,3,1,2,4,1141,Neutral,Yes,4,"['Smart recommendations', 'Fitness events', 'Loyalty rewards']","['Limited stock', 'Expensive pricing', 'None', 'Poor personalization']",Yes,Intermediate,Probably Not
42,47794,Athlete,Tier 3,2,3-4 times,"['Badminton', 'Cycling']",Yes,"['Rackets', 'Nets']",Online,3,5,2,5,3,2,5,2064,Unlikely,No,3,"['Fitness events', 'Loyalty rewards', 'Eco-friendly packaging']",['Late delivery'],Maybe,Expert,Definitely
44,37617,Homemaker,Metro,2,3-4 times,"['Gym', 'Badminton', 'Football']",No,[],Offline,4,5,2,3,4,4,2,1615,Very Unlikely,Yes,2,"['Personalized discounts', 'Loyalty rewards', 'Buy-back offers']",['Expensive pricing'],Maybe,Expert,Definitely
59,45179,Retired,Metro,1,3-4 times,"['Football', 'Cricket']",Yes,['Balls'],Online,3,2,3,5,3,3,3,4031,Neutral,No,2,"['Buy-back offers', 'Same-day delivery', 'Loyalty rewards']","['Not eco-friendly', 'No bundling']",No,Intermediate,Definitely
45,56193,Student,Metro,4,3-4 times,"['Tennis', 'Cycling']",Yes,[],Both,5,5,1,5,3,3,5,1968,Very Likely,Yes,4,"['Personalized discounts', 'Eco-friendly packaging', 'Same-day delivery']","['Poor personalization', 'Poor quality', 'Late delivery']",Yes,Intermediate,Probably Not
33,41544,Homemaker,Metro,5,3-4 times,['Badminton'],No,"['Balls', 'Weights', 'Yoga Mats']",Both,4,4,1,4,2,3,4,876,Likely,Yes,1,"['Loyalty rewards', 'Eco-friendly packaging', 'Personalized discounts']",['Late delivery'],No,Intermediate,Probably
32,37666,Retired,Tier 2,3,3-4 times,"['Football', 'Cycling', 'Running', 'Cricket']",Yes,"['Rackets', 'Weights', 'Balls']",Offline,4,2,5,4,2,2,3,1892,Likely,Yes,3,"['Personalized discounts', 'Same-day delivery', 'Fitness events']","['Not eco-friendly', 'Poor quality', 'Poor personalization', 'Expensive pricing']",Yes,Beginner,Not Sure
20,53655,Homemaker,Metro,1,5+ times,"['Cycling', 'Basketball', 'Tennis', 'Running']",Yes,"['Weights', 'Balls', 'Yoga Mats']",Offline,3,5,4,5,4,3,3,2415,Very Likely,Yes,4,"['Loyalty rewards', 'Eco-friendly packaging', 'Buy-back offers']","['Poor quality', 'Limited stock']",No,Beginner,Definitely
54,53674,Athlete,Tier 3,4,Never,['Basketball'],Yes,"['Nets', 'Balls', 'Rackets']",Both,5,4,2,4,5,4,3,3338,Likely,Maybe,4,"['Eco-friendly packaging', 'Personalized discounts', 'Fitness events']","['Limited stock', 'Poor quality', 'Not eco-friendly', 'Late delivery']",Maybe,Beginner,Probably
24,42395,Student,Metro,3,5+ times,"['Gym', 'Basketball', 'Football']",Yes,"['Nets', 'Balls', 'Weights']",Online,4,4,2,3,2,2,5,1528,Neutral,Yes,2,"['Smart recommendations', 'Loyalty rewards', 'Buy-back offers']","['Poor quality', 'Late delivery', 'Poor personalization', 'Limited stock']",No,Beginner,Definitely
38,42934,Athlete,Metro,2,5+ times,"['Badminton', 'Gym', 'Cycling', 'Cricket']",Yes,"['Weights', 'Nets']",Both,4,4,2,4,5,2,5,734,Likely,Yes,3,"['Fitness events', 'Loyalty rewards', 'Personalized discounts']",['Expensive pricing'],No,Expert,Not Sure
26,53480,Student,Tier 2,2,1-2 times,['Basketball'],Yes,"['Balls', 'Rackets', 'Weights']",Both,3,3,4,4,1,2,5,2653,Very Likely,Yes,1,"['Smart recommendations', 'Personalized discounts', 'Eco-friendly packaging']",['Limited stock'],Maybe,Intermediate,Definitely
56,28278,Working Professional,Tier 2,3,3-4 times,['Tennis'],Yes,"['Balls', 'Rackets']",Both,3,2,5,3,2,2,3,895,Very Likely,Yes,2,"['Buy-back offers', 'Eco-friendly packaging', 'Fitness events']","['No bundling', 'Late delivery', 'None']",No,Intermediate,Definitely
35,28888,Retired,Metro,1,3-4 times,"['Basketball', 'Tennis', 'Cycling', 'Running']",Yes,['Nets'],Offline,5,4,4,4,2,4,3,1651,Unlikely,No,4,"['Loyalty rewards', 'Eco-friendly packaging', 'Same-day delivery']",['Expensive pricing'],Maybe,Intermediate,Definitely
21,39223,Student,Metro,2,1-2 times,"['Tennis', 'Gym', 'Basketball']",No,"['Balls', 'Weights', 'Nets']",Online,3,3,1,5,4,3,2,1793,Likely,Maybe,2,"['Same-day delivery', 'Eco-friendly packaging', 'Buy-back offers']",['Late delivery'],Yes,Beginner,Not Sure
42,46798,Athlete,Metro,5,1-2 times,['Cricket'],Yes,"['Rackets', 'Balls', 'Nets']",Online,5,5,1,3,5,4,2,1944,Likely,Yes,2,"['Eco-friendly packaging', 'Personalized discounts', 'Fitness events']","['Poor quality', 'Limited stock', 'Poor personalization']",No,Intermediate,Probably
31,54663,Homemaker,Tier 2,3,Never,"['Tennis', 'Cycling']",Yes,[],Both,4,4,2,5,2,3,5,2551,Very Likely,Maybe,5,"['Buy-back offers', 'Loyalty rewards', 'Same-day delivery']","['Expensive pricing', 'None', 'Poor quality', 'Limited stock']",Maybe,Expert,Probably
26,72130,Student,Tier 2,3,1-2 times,"['Cricket', 'Cycling', 'Basketball']",Yes,['Rackets'],Online,5,3,3,3,2,4,5,1453,Unlikely,No,2,"['Same-day delivery', 'Loyalty rewards', 'Eco-friendly packaging']","['Late delivery', 'Poor personalization', 'Not eco-friendly']",Maybe,Beginner,Probably
43,62864,Retired,Metro,2,5+ times,"['Cycling', 'Basketball', 'Cricket']",Yes,"['Balls', 'Shoes', 'Rackets']",Both,5,4,2,5,4,5,4,1781,Likely,Yes,2,"['Buy-back offers', 'Fitness events', 'Eco-friendly packaging']","['No bundling', 'Poor quality', 'Poor personalization']",No,Beginner,Definitely Not
19,47600,Student,Tier 3,1,1-2 times,"['Tennis', 'Badminton', 'Gym', 'Basketball']",Yes,"['Yoga Mats', 'Rackets', 'Shoes']",Online,5,2,3,5,4,5,5,1988,Very Likely,No,3,"['Loyalty rewards', 'Buy-back offers', 'Same-day delivery']","['Limited stock', 'None', 'Late delivery']",Yes,Intermediate,Not Sure
37,49714,Business Owner,Tier 3,5,5+ times,"['Tennis', 'Gym', 'Running', 'Cycling']",Yes,['Shoes'],Online,4,2,4,4,5,5,2,2119,Likely,No,2,"['Smart recommendations', 'Same-day delivery', 'Eco-friendly packaging']","['Expensive pricing', 'Not eco-friendly']",No,Intermediate,Not Sure
45,34962,Homemaker,Tier 2,1,3-4 times,"['Running', 'Football']",No,"['Nets', 'Weights']",Online,3,5,1,5,1,5,2,2078,Likely,No,1,"['Personalized discounts', 'Loyalty rewards', 'Fitness events']","['Late delivery', 'Expensive pricing', 'No bundling', 'Poor quality']",Maybe,Intermediate,Definitely
24,49722,Retired,Tier 3,4,5+ times,['Badminton'],Yes,"['Weights', 'Rackets', 'Shoes']",Online,4,4,3,4,1,2,2,2348,Unlikely,Maybe,4,"['Smart recommendations', 'Eco-friendly packaging', 'Loyalty rewards']","['Poor personalization', 'No bundling']",Yes,Intermediate,Definitely
25,45670,Retired,Metro,4,3-4 times,"['Basketball', 'Football', 'Gym', 'Badminton']",Yes,[],Offline,3,3,4,3,3,2,3,2675,Neutral,Yes,3,"['Same-day delivery', 'Eco-friendly packaging', 'Smart recommendations']","['Poor quality', 'None']",No,Intermediate,Probably Not
52,54840,Working Professional,Metro,2,Never,"['Badminton', 'Gym', 'Running', 'Tennis']",Yes,"['Weights', 'Balls', 'Rackets']",Online,5,5,1,5,2,4,3,2314,Neutral,Maybe,2,"['Buy-back offers', 'Smart recommendations', 'Personalized discounts']",['Poor quality'],Maybe,Beginner,Probably
31,37591,Athlete,Metro,2,3-4 times,"['Cycling', 'Basketball', 'Football']",Yes,[],Both,5,4,3,5,5,4,5,2362,Very Likely,No,1,"['Loyalty rewards', 'Buy-back offers', 'Smart recommendations']","['Poor personalization', 'Poor quality', 'None']",No,Beginner,Definitely
34,57790,Working Professional,Metro,2,Never,"['Basketball', 'Badminton', 'Tennis', 'Cricket']",Yes,[],Offline,5,5,2,3,2,5,4,734,Neutral,Yes,4,"['Same-day delivery', 'Eco-friendly packaging', 'Buy-back offers']","['No bundling', 'Poor personalization', 'Late delivery']",Yes,Intermediate,Probably
53,72991,Retired,Tier 2,4,3-4 times,"['Cricket', 'Cycling', 'Running', 'Football']",Yes,"['Yoga Mats', 'Weights', 'Nets']",Online,5,3,2,3,5,3,4,2040,Likely,No,3,"['Eco-friendly packaging', 'Buy-back offers', 'Loyalty rewards']","['Limited stock', 'Not eco-friendly']",Yes,Expert,Probably Not
57,48368,Homemaker,Tier 3,1,5+ times,"['Basketball', 'Cycling', 'Gym', 'Tennis']",Yes,"['Shoes', 'Rackets', 'Weights']",Offline,5,5,2,5,5,5,4,2383,Likely,Yes,1,"['Smart recommendations', 'Buy-back offers', 'Fitness events']",['Poor quality'],Yes,Expert,Definitely
21,56025,Student,Metro,1,1-2 times,"['Football', 'Tennis', 'Cycling', 'Badminton']",No,[],Both,3,5,4,3,5,4,3,2583,Neutral,Maybe,2,"['Same-day delivery', 'Personalized discounts', 'Smart recommendations']",['Not eco-friendly'],Yes,Expert,Probably
19,60352,Student,Metro,2,1-2 times,"['Running', 'Badminton', 'Basketball']",Yes,['Shoes'],Both,3,5,2,4,2,5,2,1446,Likely,No,5,"['Eco-friendly packaging', 'Loyalty rewards', 'Fitness events']",['Poor personalization'],Yes,Intermediate,Not Sure
23,43981,Homemaker,Metro,5,3-4 times,"['Cricket', 'Gym']",Yes,['Shoes'],Online,5,4,5,3,4,4,2,1472,Likely,Yes,5,"['Buy-back offers', 'Loyalty rewards', 'Personalized discounts']","['No bundling', 'Late delivery', 'Poor personalization', 'Limited stock']",No,Intermediate,Probably
59,53361,Retired,Tier 3,1,5+ times,"['Football', 'Gym']",Yes,"['Shoes', 'Rackets', 'Yoga Mats']",Both,4,3,1,3,2,5,3,1540,Very Likely,Yes,3,"['Personalized discounts', 'Buy-back offers', 'Fitness events']","['Expensive pricing', 'Not eco-friendly']",Yes,Intermediate,Definitely
21,50188,Student,Metro,4,3-4 times,['Badminton'],Yes,"['Yoga Mats', 'Shoes']",Both,4,2,4,5,5,3,4,2429,Likely,No,1,"['Eco-friendly packaging', 'Buy-back offers', 'Same-day delivery']","['Late delivery', 'Expensive pricing', 'Limited stock', 'Poor quality']",Yes,Expert,Definitely Not
46,51465,Student,Tier 2,3,1-2 times,"['Gym', 'Cricket', 'Basketball', 'Tennis']",Yes,['Rackets'],Online,5,4,2,4,3,5,4,2827,Likely,Yes,4,"['Same-day delivery', 'Smart recommendations', 'Personalized discounts']",['Poor quality'],Maybe,Beginner,Definitely Not
35,38404,Student,Metro,3,3-4 times,"['Basketball', 'Tennis', 'Cricket']",Yes,"['Rackets', 'Nets', 'Balls']",Online,3,2,1,3,1,3,5,1674,Unlikely,Yes,1,"['Fitness events', 'Loyalty rewards', 'Eco-friendly packaging']",['Limited stock'],Yes,Intermediate,Not Sure
43,50367,Athlete,Metro,3,1-2 times,['Badminton'],Yes,['Rackets'],Offline,4,2,3,4,5,3,5,2726,Very Likely,Yes,5,"['Buy-back offers', 'Eco-friendly packaging', 'Personalized discounts']",['Poor personalization'],Maybe,Intermediate,Probably
51,57469,Athlete,Tier 3,5,3-4 times,['Basketball'],Yes,"['Balls', 'Nets']",Online,4,4,2,4,3,4,4,2098,Unlikely,Yes,3,"['Buy-back offers', 'Smart recommendations', 'Personalized discounts']","['Poor quality', 'Poor personalization', 'None']",Maybe,Intermediate,Definitely
27,71767,Business Owner,Tier 3,2,5+ times,"['Football', 'Cycling']",Yes,"['Weights', 'Yoga Mats', 'Nets']",Both,4,4,1,4,4,3,3,1900,Very Likely,Yes,2,"['Loyalty rewards', 'Buy-back offers', 'Smart recommendations']","['None', 'Not eco-friendly']",Maybe,Beginner,Probably Not
53,64389,Working Professional,Metro,4,3-4 times,"['Badminton', 'Cycling', 'Gym']",Yes,"['Shoes', 'Weights']",Online,5,3,5,5,5,2,4,1830,Neutral,Yes,1,"['Personalized discounts', 'Eco-friendly packaging', 'Buy-back offers']","['Expensive pricing', 'Not eco-friendly', 'Limited stock']",No,Intermediate,Definitely
31,82297,Homemaker,Tier 3,5,5+ times,"['Tennis', 'Football', 'Basketball']",Yes,"['Weights', 'Nets', 'Shoes']",Both,4,3,3,3,3,2,5,2597,Very Likely,Yes,5,"['Fitness events', 'Loyalty rewards', 'Buy-back offers']","['No bundling', 'Poor quality', 'Expensive pricing', 'Poor personalization']",No,Intermediate,Not Sure
48,38489,Homemaker,Tier 2,4,Never,"['Basketball', 'Badminton', 'Cycling']",Yes,"['Weights', 'Yoga Mats']",Offline,4,5,5,5,5,2,4,2260,Likely,No,4,"['Loyalty rewards', 'Buy-back offers', 'Fitness events']","['Poor quality', 'Limited stock', 'Late delivery']",Maybe,Intermediate,Probably Not
32,63084,Homemaker,Tier 3,4,3-4 times,"['Cricket', 'Badminton']",Yes,['Shoes'],Online,4,2,1,3,2,4,3,3820,Very Likely,No,3,"['Buy-back offers', 'Eco-friendly packaging', 'Smart recommendations']","['Expensive pricing', 'None']",No,Intermediate,Probably
25,52750,Business Owner,Metro,2,5+ times,"['Gym', 'Tennis']",No,['Rackets'],Online,4,3,5,3,3,2,2,1318,Neutral,Yes,2,"['Loyalty rewards', 'Eco-friendly packaging', 'Same-day delivery']","['Expensive pricing', 'No bundling', 'None']",Yes,Beginner,Not Sure
31,82847,Athlete,Tier 2,3,Never,"['Cricket', 'Running']",Yes,"['Yoga Mats', 'Rackets']",Offline,3,5,1,5,2,4,3,2414,Likely,Yes,1,"['Loyalty rewards', 'Smart recommendations', 'Same-day delivery']",['Poor personalization'],No,Expert,Not Sure
40,37875,Retired,Metro,2,5+ times,"['Gym', 'Cycling']",No,"['Yoga Mats', 'Weights']",Both,5,3,1,4,2,4,3,1576,Likely,No,4,"['Eco-friendly packaging', 'Buy-back offers', 'Loyalty rewards']","['None', 'Limited stock', 'Expensive pricing', 'Poor personalization']",Yes,Intermediate,Definitely
57,37404,Retired,Tier 2,5,1-2 times,"['Badminton', 'Football']",Yes,"['Yoga Mats', 'Balls']",Both,5,4,5,4,3,2,5,1304,Very Likely,Yes,2,"['Smart recommendations', 'Fitness events', 'Same-day delivery']","['Poor personalization', 'No bundling', 'Expensive pricing', 'Late delivery']",Yes,Intermediate,Probably
38,41009,Business Owner,Metro,5,3-4 times,"['Cricket', 'Football', 'Badminton', 'Running']",Yes,"['Shoes', 'Yoga Mats', 'Balls']",Online,3,3,1,3,1,3,3,1991,Unlikely,Yes,5,"['Buy-back offers', 'Eco-friendly packaging', 'Loyalty rewards']",['Limited stock'],No,Beginner,Definitely
33,18141,Retired,Metro,5,5+ times,"['Football', 'Gym', 'Tennis', 'Cricket']",Yes,['Shoes'],Online,3,2,2,5,3,5,3,2109,Very Likely,Yes,5,"['Fitness events', 'Buy-back offers', 'Smart recommendations']",['Poor quality'],No,Beginner,Probably
35,42113,Homemaker,Metro,2,3-4 times,"['Basketball', 'Football', 'Gym']",Yes,"['Nets', 'Shoes', 'Weights']",Online,5,3,1,4,1,4,5,4334,Very Likely,Maybe,4,"['Personalized discounts', 'Fitness events', 'Same-day delivery']",['Not eco-friendly'],Maybe,Intermediate,Definitely
41,38613,Working Professional,Tier 2,4,Never,['Running'],Yes,['Shoes'],Offline,4,2,4,4,5,2,5,1852,Neutral,No,5,"['Buy-back offers', 'Eco-friendly packaging', 'Personalized discounts']","['Poor quality', 'Late delivery']",No,Intermediate,Probably
43,52255,Student,Metro,4,3-4 times,"['Basketball', 'Running', 'Badminton']",No,[],Online,4,4,1,3,5,4,2,1095,Very Likely,No,3,"['Buy-back offers', 'Fitness events', 'Smart recommendations']","['No bundling', 'None', 'Not eco-friendly']",No,Intermediate,Not Sure
42,55126,Athlete,Tier 2,1,3-4 times,['Cycling'],Yes,"['Yoga Mats', 'Rackets', 'Nets']",Online,5,2,4,3,3,3,4,2218,Likely,No,4,"['Smart recommendations', 'Eco-friendly packaging', 'Personalized discounts']","['Poor quality', 'Limited stock', 'None', 'Poor personalization']",No,Beginner,Definitely Not
58,78142,Athlete,Tier 3,5,5+ times,"['Tennis', 'Badminton']",No,['Shoes'],Offline,4,3,1,5,5,3,3,340,Likely,No,5,"['Smart recommendations', 'Fitness events', 'Personalized discounts']","['Expensive pricing', 'Poor quality', 'Late delivery']",Yes,Expert,Definitely
46,64256,Business Owner,Metro,4,3-4 times,['Tennis'],Yes,['Nets'],Both,3,5,1,3,4,2,5,1926,Neutral,Yes,1,"['Same-day delivery', 'Buy-back offers', 'Smart recommendations']",['Poor personalization'],Yes,Intermediate,Probably
32,41346,Athlete,Tier 2,1,1-2 times,"['Badminton', 'Tennis', 'Gym']",No,"['Yoga Mats', 'Nets', 'Weights']",Online,4,4,5,4,2,4,2,2012,Likely,No,5,"['Personalized discounts', 'Same-day delivery', 'Eco-friendly packaging']",['Not eco-friendly'],Yes,Beginner,Probably
18,36523,Homemaker,Metro,4,3-4 times,"['Gym', 'Tennis', 'Badminton']",Yes,"['Balls', 'Shoes', 'Rackets']",Online,4,3,2,4,2,5,4,2635,Likely,Yes,3,"['Loyalty rewards', 'Eco-friendly packaging', 'Personalized discounts']","['None', 'Poor quality', 'Late delivery']",Maybe,Intermediate,Definitely Not
42,57378,Retired,Tier 3,5,3-4 times,['Running'],No,['Rackets'],Offline,4,4,2,4,1,5,5,2778,Likely,No,2,"['Eco-friendly packaging', 'Fitness events', 'Personalized discounts']","['Expensive pricing', 'Poor quality', 'Not eco-friendly', 'Late delivery']",Maybe,Expert,Probably
24,30196,Homemaker,Metro,3,3-4 times,"['Football', 'Running', 'Cycling', 'Cricket']",Yes,"['Rackets', 'Yoga Mats', 'Shoes']",Offline,5,4,3,4,5,4,4,1597,Likely,No,2,"['Eco-friendly packaging', 'Buy-back offers', 'Fitness events']","['Not eco-friendly', 'No bundling']",Maybe,Intermediate,Probably
26,77471,Business Owner,Tier 2,5,3-4 times,"['Gym', 'Cricket']",Yes,"['Rackets', 'Nets']",Online,3,3,5,5,1,4,4,1879,Likely,No,5,"['Eco-friendly packaging', 'Fitness events', 'Same-day delivery']","['No bundling', 'Poor personalization', 'None']",Yes,Beginner,Probably Not
41,67691,Homemaker,Tier 3,2,5+ times,"['Tennis', 'Badminton']",Yes,"['Balls', 'Weights', 'Rackets']",Both,4,3,5,5,2,4,3,1387,Likely,Yes,2,"['Fitness events', 'Personalized discounts', 'Buy-back offers']",['Late delivery'],No,Intermediate,Definitely
18,42962,Retired,Tier 3,4,3-4 times,"['Tennis', 'Cricket', 'Cycling']",No,"['Weights', 'Yoga Mats', 'Nets']",Both,5,5,2,3,2,2,3,1097,Unlikely,Yes,5,"['Personalized discounts', 'Buy-back offers', 'Loyalty rewards']",['Late delivery'],Maybe,Beginner,Probably Not
25,24302,Working Professional,Tier 2,4,3-4 times,"['Cricket', 'Football', 'Running', 'Gym']",Yes,"['Yoga Mats', 'Rackets', 'Shoes']",Online,4,4,5,3,5,3,5,2247,Very Likely,No,3,"['Fitness events', 'Eco-friendly packaging', 'Buy-back offers']","['Limited stock', 'No bundling']",Maybe,Beginner,Probably Not
41,70308,Business Owner,Metro,2,1-2 times,['Gym'],No,['Nets'],Online,3,4,2,3,4,5,4,981,Likely,No,2,"['Eco-friendly packaging', 'Loyalty rewards', 'Personalized discounts']","['Not eco-friendly', 'Poor quality', 'Expensive pricing']",Yes,Beginner,Probably Not
